index,A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),P
90,2790.6325,872.1,2273.955,694.83,837.115,1588.6975,397.135,392.68,1454.01,202.51,351.06,69.04,86.35,74.95,257.46,336.77,116.8,51.13,33.81
91,2685.8925,812.55,2439.005,643.5475,828.435,1672.9275,424.325,440.89,1172.1625,229.72,316.9275,66.08,84.07,70.92,239.3775,334.5175,113.1175,51.13,38.19
92,2219.2025,705.7,2453.685,661.3225,948.02,1684.3425,440.045,454.95,1425.625,234.0675,355.16,69.04,82.0225,72.53,241.96,314.24,114.53,50.21,13.14
93,2219.4525,705.7,2453.685,661.3375,948.02,1684.7175,440.045,454.95,1425.625,234.0675,355.16,69.04,86.35,72.53,241.96,314.24,114.53,50.21,45.37
94,2547.545,766.4825,2408.6525,626.2295,835.535,1645.225,410.755,432.7275,1360.355,229.4975,340.535,67.875,83.32,70.92,243.68,306.355,110.85,49.3,14.19
95,2372.985,723.8825,2421.84,586.725,780.2775,1495.865,433.7325,447.165,1339.865,231.06,340.79,69.46,84.07,70.92,240.24,319.87,117.37,51.13,57.46
96,1768.28,885.55,1967.7775,540.99,789.36,1024.57,388.85,388.415,878.615,196.71,208.38,58.24,70.44,55.61,153.7,237.655,82.5,42.91,24.7
97,1574.9775,732.6025,1861.2875,483.9325,788.965,1096.6275,351.6325,364.8125,975.7825,191.4725,268.9375,57.82,76.1175,61.8525,171.35,246.385,84.765,40.17,7.53
98,1987.42,932.38,2242.955,598.74,885.66,1165.8775,386.0325,393.055,1006.5075,201.95,256.1075,58.45,71.95,57.62,165.535,234.5525,83.92,41.08,4.73
99,1983.445,932.2275,2241.3525,598.74,885.66,1165.8775,386.0325,393.055,1006.5075,201.95,256.1075,58.45,71.95,57.62,165.535,234.5525,83.92,41.08,10.34
100,,,,,,,,,,,,,,,,,,,
